event_id,state,latitude,longitude
4310444,West Virginia,38.1099,-81.9724
4310453,West Virginia,38.0617,-81.642
5005240,New York,43.3052,-73.6033
5005265,New York,43.0058,-76.3731
4638460,West Virginia,37.4554,-82.1201
4766652,Pennsylvania,40.8136,-78.4597
4488018,Pennsylvania,41.4701,-77.3819
5111698,West Virginia,38.0946,-81.3493
5111714,Pennsylvania,41.0013,-75.9051
4310381,West Virginia,37.7578,-82.2463
4310378,West Virginia,37.791,-82.0413
5111712,West Virginia,38.129,-80.4611
4310400,West Virginia,38.0882,-81.3798
5110414,West Virginia,38.0733,-81.6806
4310393,West Virginia,38.0702,-81.647
4213014,West Virginia,38.0909,-81.6788
4213038,West Virginia,37.742,-82.0255
4213775,West Virginia,37.729,-82.299
4214020,West Virginia,37.8661,-81.7613
4310396,West Virginia,39.2071,-79.4208
usp00017zn,New York,43.561,-75.231
4217809,West Virginia,38.0889,-81.6664
usp0001ap5,Virginia,38.176,-79.901
4374428,Pennsylvania,40.4762,-78.5399
4094636,West Virginia,37.791,-82.2837
4225274,West Virginia,38.0526,-81.6522
4767699,Pennsylvania,40.8938,-78.2597
4638533,West Virginia,38.0873,-81.6765
4218994,West Virginia,38.0163,-81.6948
4767771,New York,42.514,-73.8466
usp0001eh8,Quebec,45.108,-74.608
usp000gjf0,Pennsylvania,40.054,-76.967
usp0001ejz,Quebec,45.108,-74.61
usp0001kpb,New Jersey,40.024,-74.813
usp0001pbm,New York,43.209,-74.2
usp0001tbn,New York,41.554,-73.658
usp0001xr6,Kentucky,38.472,-82.772
usp0001yuw,New York,43.952,-74.258
usp0001yux,New York,43.952,-74.258
usp0001yxk,New York,43.952,-74.258
usp00020en,Pennsylvania,39.832,-75.66
usp00020pq,Quebec,45.22,-73.98
usp00021d2,Delaware,39.795,-75.524
usp00023nz,Pennsylvania,39.923,-76.316
usp00023tg,Pennsylvania,39.921,-76.355
usp00026jj,New York,44.91,-73.48
usp00028dt,New York,43.592,-73.937
4638535,West Virginia,38.1025,-80.4351
4813090,West Virginia,38.0889,-81.3656
4813114,New York,43.7601,-74.1234
5006090,New York,43.7505,-74.113
5006100,West Virginia,39.7583,-79.7784
5007456,West Virginia,37.7467,-82.031
4638527,West Virginia,37.7632,-82.1792
4638452,West Virginia,38.0608,-81.6582
4766677,West Virginia,38.011,-80.5202
4766764,Pennsylvania,40.2143,-80.984
4766773,New York,42.5064,-73.8551
4766832,West Virginia,38.0373,-81.4486
4487908,New York,43.7536,-74.1217
4812969,West Virginia,37.8242,-82.1916
4767891,West Virginia,39.7366,-79.8154
4808552,West Virginia,37.9926,-81.469
4815544,New York,42.9979,-76.0434
4815560,New York,42.9909,-76.3421
4815564,Maryland,39.7515,-76.1512
4815609,Pennsylvania,41.4706,-77.3571
4820576,Maryland,39.4781,-76.6706
4820577,West Virginia,38.0502,-81.6719
4213919,West Virginia,38.0069,-80.5389
4309549,West Virginia,37.7632,-82.1985
usp0002kxt,New York,40.98,-73.83
usp0002kzz,New York,40.99,-73.84
usp0002m9v,New York,42.988,-74.213
usp0002mcq,Quebec,45.29,-73.45
usp0002psa,New York,40.989,-73.833
usp0002saf,West Virginia,37.245,-80.494
usp0002t3q,New York,40.98,-73.834
usp0002ter,Pennsylvania,39.925,-76.293
usp000bvkj,New York,41.361,-74.37
usp0002x3n,Quebec,45.131,-74.246
usp0002x3p,Quebec,45.129,-74.233
usp0002x3v,Quebec,45.127,-74.244
usp00030be,New Jersey,40.956,-74.82
4820592,West Virginia,38.0716,-81.6811
4815705,West Virginia,37.7374,-81.9582
4372494,West Virginia,37.5709,-82.0522
4815774,Maryland,39.4705,-76.6481
4310297,West Virginia,37.7524,-82.0065
4310324,West Virginia,37.8277,-81.8089
4310350,West Virginia,37.8227,-81.9028
4310357,West Virginia,38.048,-81.7097
4310358,West Virginia,37.5608,-82.0623
usp00038r8,New York,44.375,-74.517
usp0003jta,New York,44.995,-74.955
usp000447m,Maryland,39.425,-76.881
usp0004j8f,Pennsylvania,41.953,-80.122
usp0004q85,New York,41.151,-73.653
usp0004qn8,West Virginia,37.941,-80.207
usp0004t2k,New York,42.63,-74.678
usp0004thc,West Virginia,38.276,-81.668
usp0004tt6,Quebec,45.232,-73.896
usp0004x5n,Maryland,39.564,-76.979
usp0004x6w,New Jersey,39.848,-75.031
usp0004yhu,New York,41.07,-73.578
usp00051k3,New Jersey,40.363,-74.341
usp00051u7,New York,41.239,-74.16
usp0005nqk,New Jersey,39.876,-74.942
usp0005sk4,Pennsylvania,40.35,-76.02
usp0005sk5,Pennsylvania,40.35,-76.02
usp0005t0y,Pennsylvania,40.35,-76.02
4310412,West Virginia,37.7491,-82.0175
4225334,West Virginia,37.7156,-82.0717
4225357,West Virginia,38.3667,-81.0065
4225366,West Virginia,37.7301,-82.0031
4225373,West Virginia,37.8534,-81.549
4369063,West Virginia,37.5723,-82.399
4369210,West Virginia,37.7298,-81.8319
4369212,West Virginia,38.0366,-81.4833
5005259,West Virginia,38.0576,-81.5197
5005253,New York,43.9393,-73.3569
4369066,West Virginia,38.0432,-81.6935
4369179,West Virginia,38.2429,-81.5831
4369180,West Virginia,38.1547,-81.8065
4369205,West Virginia,37.8665,-81.5346
4369275,West Virginia,37.9669,-81.4172
4369482,West Virginia,37.8483,-81.5198
4369566,West Virginia,37.894,-81.3065
4369578,West Virginia,38.2572,-81.6162
4369846,West Virginia,37.6079,-82.3821
4371872,West Virginia,38.0703,-81.4616
4371922,West Virginia,37.8965,-81.5819
usp0005xq1,Quebec,45.26,-74.12
usp00063sg,Quebec,45.182,-73.495
usp00066h5,Pennsylvania,40.327,-76.007
usp0006r0z,Pennsylvania,40.3,-76.0
usp0006rqp,West Virginia,37.05,-80.789
usp0006tqg,New York,44.233,-74.426
usp0006y0t,New York,42.995,-78.831
4371953,West Virginia,38.0444,-81.3484
4372160,Pennsylvania,40.3025,-80.9527
4372221,Pennsylvania,41.4832,-77.3316
4372233,New York,43.5902,-75.3455
4372252,West Virginia,37.7571,-81.9358
4374022,West Virginia,37.7917,-82.1717
4374242,West Virginia,37.9766,-81.347
4488366,West Virginia,37.599,-82.4297
5111649,West Virginia,38.0978,-81.4197
4488474,Pennsylvania,40.7184,-76.1652
4488638,New York,42.5218,-73.8559
4488684,West Virginia,37.9091,-81.3354
4488713,West Virginia,39.7006,-79.956
4488735,New York,42.5206,-73.8558
5110228,West Virginia,38.126,-82.0104
4488740,New York,43.4856,-73.4366
4488149,West Virginia,37.916,-81.2993
4488153,West Virginia,38.0188,-80.531
4599376,New York,43.0856,-73.8709
4599403,Pennsylvania,40.624,-76.4099
4599454,Pennsylvania,40.7928,-76.3088
4599473,Virginia,39.2426,-78.0882
4599508,West Virginia,38.0563,-81.6925
4372622,West Virginia,37.5755,-82.399
4372000,Pennsylvania,40.796,-76.6532
4599520,West Virginia,38.4815,-80.5765
5114944,Ohio,41.1513,-80.0135
usp00073rq,Quebec,45.08,-74.21
usp0007mf4,New York,44.453,-74.03
usp0007rjb,Pennsylvania,39.742,-76.054
usp000a31y,New York,42.762,-74.068
usp000a7vu,New York,40.777,-73.954
usp000a811,Ohio,41.877,-80.774
4638466,West Virginia,37.7355,-81.9786
4638476,West Virginia,38.197,-81.8019
4638478,West Virginia,39.8392,-79.9218
4638552,West Virginia,38.0704,-81.3388
4638564,West Virginia,37.9063,-81.3141
4767839,Pennsylvania,40.8293,-78.2637
4767842,West Virginia,38.0148,-80.5402
4766689,West Virginia,38.3354,-81.059
4766690,West Virginia,37.7586,-82.0698
4766765,West Virginia,38.0184,-81.7281
4766796,West Virginia,37.8012,-82.1511
4766860,West Virginia,39.9568,-79.3822
4766873,West Virginia,37.6922,-82.0694
4767042,Pennsylvania,40.187,-80.9705
4812917,Pennsylvania,40.801,-78.4394
4812961,West Virginia,38.0545,-81.6817
4371986,West Virginia,37.8213,-82.1408
5114989,New Jersey,40.3473,-74.9068
4808438,Pennsylvania,40.7316,-76.3021
4808444,West Virginia,37.8916,-81.7118
4808455,New York,43.5906,-75.3403
4808469,Pennsylvania,40.8493,-75.8065
4808488,West Virginia,39.8485,-79.911
4374158,West Virginia,37.8933,-81.5944
4808495,New York,42.9895,-75.1998
4808556,New York,42.5191,-73.8447
4808610,Pennsylvania,40.7108,-76.3114
4808623,West Virginia,38.0519,-81.4662
usp000a8dr,Ohio,41.942,-80.802
usp000ac4n,West Virginia,37.31,-80.812
usp000ag00,Ohio,41.905,-80.767
usp000b2u9,New York,44.504,-73.703
usp000b4x4,New York,44.504,-73.675
usp000b6wq,New York,44.499,-73.703
usp000bmdm,New York,44.56,-73.79
usp000buqg,New York,44.615,-74.34
usp000c2ph,Ohio,41.86,-80.76
usp000c5zy,New Jersey,40.606,-75.106
usp000c62z,New York,44.882,-73.73
usp000cq6p,New York,44.896,-74.912
usp000cqme,New Jersey,39.866,-75.063
usp000d3gd,New York,44.899,-74.893
usp000d6ca,New York,41.392,-74.0
usp000dhd7,Quebec,45.06,-74.2
4815540,New York,42.5164,-73.8544
4820586,New York,43.0032,-76.3528
4820608,West Virginia,38.1115,-80.4664
4820626,West Virginia,38.0233,-80.5346
4820642,West Virginia,38.0989,-81.6861
4820693,West Virginia,38.0573,-81.4704
4820823,New York,42.9914,-75.1891
4820834,New York,44.2954,-73.5922
4820841,West Virginia,37.6967,-82.0715
5006156,New York,42.9459,-77.6375
5111755,West Virginia,37.7533,-82.06
5006171,West Virginia,37.7449,-82.1334
5006179,New York,43.0165,-76.3612
5006222,West Virginia,37.4266,-82.2263
5006229,West Virginia,38.1371,-80.4589
5006232,Pennsylvania,40.7324,-76.1509
5006252,West Virginia,37.9744,-81.3585
5006260,West Virginia,38.1262,-80.4697
5006271,New York,43.5829,-75.3411
5006277,West Virginia,37.8461,-81.9123
usp000eeqn,Pennsylvania,40.266,-76.041
usp000ewg9,West Virginia,37.2,-81.92
usp000f05f,Pennsylvania,40.292,-76.037
usp000f1ma,Pennsylvania,41.733,-80.179
5005199,West Virginia,39.8416,-79.917
5005206,West Virginia,38.124,-81.6885
5005271,West Virginia,37.3353,-81.9612
5005278,Pennsylvania,40.0826,-79.2475
5005298,West Virginia,37.9032,-81.3004
5005319,New York,42.6546,-74.3117
5005378,Pennsylvania,40.7707,-76.3718
5005397,West Virginia,37.9781,-81.415
5005405,West Virginia,37.5844,-82.0801
5005452,New York,43.0113,-76.3594
5005493,Virginia,39.5131,-78.9936
5005512,Virginia,39.2497,-78.0853
5007469,West Virginia,37.8645,-81.2542
5007475,West Virginia,37.7901,-82.1076
4220914,West Virginia,37.5763,-82.3755
4225639,West Virginia,37.8638,-81.8778
4225709,New York,43.8432,-75.9451
4310817,Virginia,39.5962,-78.8887
4310896,West Virginia,38.0732,-81.7009
4374063,West Virginia,38.2792,-81.6194
4374310,New York,44.3674,-74.1484
4374431,Virginia,39.5182,-77.0394
4374466,New York,42.6368,-74.3189
4221064,West Virginia,37.5701,-82.4448
4310340,West Virginia,38.1304,-81.4062
4310362,West Virginia,38.2644,-81.5796
4820728,West Virginia,38.0481,-81.5315
4369348,West Virginia,37.3674,-81.498
4767713,West Virginia,37.9763,-81.3969
5115021,Pennsylvania,40.1688,-77.3757
4310814,West Virginia,37.8982,-81.2216
4369206,West Virginia,38.0136,-81.6754
4371977,West Virginia,37.9262,-81.3502
usp000f32v,New York,42.637,-78.796
usp000f6fp,New York,44.954,-73.84
4371980,West Virginia,38.0799,-81.6791
4488587,West Virginia,37.9324,-81.3084
4374188,New York,41.6275,-74.4942
4374169,West Virginia,37.8513,-81.5968
4374202,West Virginia,37.4176,-81.2977
5153940,New York,41.6029,-74.6254
5005202,New York,43.8631,-75.9632
4488462,New York,43.7471,-74.1067
4488100,New York,44.7805,-75.01
4309449,West Virginia,37.726,-82.0464
4220964,West Virginia,37.6598,-82.0155
4221020,West Virginia,37.7396,-81.7707
4638420,West Virginia,37.7609,-82.0475
4218973,West Virginia,37.2248,-81.7327
4218974,West Virginia,37.753,-82.3437
4219042,West Virginia,37.2645,-81.7362
4219161,West Virginia,37.8491,-81.8419
4219244,West Virginia,38.0785,-81.6692
4309456,West Virginia,38.0923,-81.6586
4309492,West Virginia,38.0047,-81.4256
4220926,West Virginia,37.6105,-82.4557
4599578,West Virginia,39.7428,-79.7493
4220924,West Virginia,37.8631,-81.7757
5110465,West Virginia,38.1286,-80.4896
4638351,New York,43.0069,-76.3628
4638383,New York,42.5283,-73.852
4638395,West Virginia,37.9303,-81.3435
4221131,West Virginia,37.8434,-81.7465
4221101,West Virginia,37.9965,-81.3481
4221159,West Virginia,38.0759,-81.9874
4223383,West Virginia,38.1228,-82.0242
4223366,West Virginia,37.1756,-81.5974
4223434,West Virginia,37.727,-82.0382
4310337,West Virginia,37.8617,-81.6628
4310338,West Virginia,37.9389,-81.3595
4310339,West Virginia,38.0621,-81.6578
4310372,Pennsylvania,41.4976,-77.3517
usp00000s4,New Jersey,39.718,-75.441
usp00002qn,New York,43.9,-74.412
usp00005q5,Virginia,38.917,-77.78
usp0000644,Pennsylvania,41.004,-75.955
usp00006jz,West Virginia,37.382,-80.419
usp00006p4,New York,41.571,-73.94
usp00008g9,West Virginia,39.095,-81.593
usp000f9db,New York,43.325,-76.966
4767828,West Virginia,37.8876,-81.2202
4766642,Pennsylvania,40.8347,-78.6593
4766653,New York,42.503,-73.852
4766810,New Jersey,40.3757,-74.6601
