api_number,operator,operator_id,well_type,well_name,well_number,order_number,approval_date,month,year,location,Sec,latitude,longitude,psi,barrels_fluid,zone
3500321802.0,LINN OPERATING INC,22182,2R,NECU,16A,1007540008.0,2010-07-08,7,2010,ALFALFA,21,36.802928,-98.28472,"1,500","2,500",PENN BASAL CHEROKEE
3500321822.0,NEILSON INC,21475,CDW,BETTY JO,2,540384.0,2007-06-08,6,2007,ALFALFA,30,36.787367,-98.53594,"1,500","3,000",TONKAWA
3500321832.0,ATCHLEY RESOURCES INC,20266,2D,MILAN,2-32,1204110191.0,2012-04-02,4,2012,ALFALFA,32,36.864566,-98.30107,500,100,COTTAGE GROVE
3500321840.0,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,ALFALFA,1,527050.0,2006-07-13,7,2006,ALFALFA,28,36.621781,-98.172853,"1,500","50,000","1ST AND 2ND WILCOX, ARBUCKLE"
3500321848.0,CHESAPEAKE OPERATING LLC,17441,2D,HDW,1-2,536661.0,2007-03-13,3,2007,ALFALFA,2,36.592329,-98.13752,"1,500","50,000",ARBUCKLE
3500321877.0,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,SE BRADLEY A UNIT M,13,1609310123.0,2016-07-06,7,2016,ALFALFA,30,36.6999999,-98.52748,"2,500","19,900",HUNTON
3500321880.0,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,LEAMON,1,1609310122.0,2016-07-06,7,2016,ALFALFA,29,36.703106,-98.51959,"2,500","19,900",HUNTON
3500321897.0,CHESAPEAKE OPERATING LLC,17441,2D,GIDEON,1-32,556249.0,2008-07-03,7,2008,ALFALFA,32,36.693246,-98.184626,"1,500","50,000",ARBUCKLE
3500321916.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LILY SWD,1-27,1102650003.0,2010-11-15,11,2010,ALFALFA,27,36.969509,-98.259103,"2,000","60,000",ARBUCKLE
3500321931.0,CHESAPEAKE OPERATING LLC,17441,2D,DUTCH HARBOR SWD,1-14,1607050002.0,2016-04-18,4,2016,ALFALFA,14,36.638051,-98.451166,"2,500","19,500",SIMPSON
3500321961.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BAILAR SWD,1-35,1103600047.0,2011-01-13,1,2011,ALFALFA,35,36.94258,-98.47106,"2,000","100,000",ARBUCKLE
3500321976.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,RISITA SWD,1-27,1102650002.0,2010-11-18,11,2010,ALFALFA,27,36.957094,-98.147748,"2,000","60,000",ARBUCKLE
3500321983.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DORADO SWD,1-32,1102310016.0,2010-11-17,11,2010,ALFALFA,32,36.9562,-98.2006,"2,000","100,000",ARBUCKLE
3500321994.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,FIERO SWD,1-23,1103390003.0,2011-03-21,3,2011,ALFALFA,23,36.9849,-98.1344,"2,000","60,000",ARBUCKLE
3500321995.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,TIBURON SWD,1-1,1103390002.0,2010-12-21,12,2010,ALFALFA,1,36.92792,-98.11822,"2,000","100,000",ARBUCKLE
3500322002.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,TIBURON SWD,2-1,1103700007.0,2011-03-24,3,2011,ALFALFA,1,36.9281,-98.1181,"2,000","60,000",ARBUCKLE-PLUGGED OFF
3500322006.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,GATILLO SWD,1-34,1103930063.0,2011-02-07,2,2011,ALFALFA,34,36.95625,-98.37841,"2,000","100,000",ARBUCKLE
3500322019.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,AQUARIUS SWD,1-22,1104340184.0,2011-03-10,3,2011,ALFALFA,22,36.984541,-98.364877,"2,000","60,000",ARBUCKLE
3500322020.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE KELLY SWD,1-3,1104340183.0,2011-02-25,2,2011,ALFALFA,3,36.928442,-98.256115,"2,000","100,000",ARBUCKLE
3500322023.0,CHESAPEAKE OPERATING LLC,17441,2D,AMAZON SWD,1-25,1105070125.0,2011-04-04,4,2011,ALFALFA,25,36.9706918,-98.2357193,"2,000","80,000",ARBUCKLE
3500322024.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CLAUDE SWD,1-13,1104920073.0,2011-03-14,3,2011,ALFALFA,13,36.986482,-98.3286487,"2,000","60,000",ARBUCKLE
3500322026.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BETTY ELLEN SWD,1-20,1104920074.0,2011-03-25,3,2011,ALFALFA,20,36.972,-98.2009,"2,000","100,000",ARBUCKLE
3500322027.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CALLIE SWD,1-7,1105200172.0,2011-03-23,3,2011,ALFALFA,7,36.927167,-98.532828,"2,000","60,000",ARBUCKLE
3500322028.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROXY SWD,1-30,1105200171.0,2011-04-25,4,2011,ALFALFA,30,36.9576,-98.3157,"2,000","80,000",ARBUCKLE
3500322039.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ALLISON SWD,1-22,1106760087.0,2011-05-23,5,2011,ALFALFA,22,36.9789,-98.008,"2,000","60,000",ARBUCKLE
3500322046.0,CHESAPEAKE OPERATING LLC,17441,2D,NILE 14-28-12 SWD,1,1501400030.0,2014-10-15,10,2014,ALFALFA,14,36.91245,-98.45291,"2,000","80,000","ARBUCKLE, GRANITE WASH, REAGAN"
3500322066.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,OWEN SWD,1-13,1107040025.0,2011-07-21,7,2011,ALFALFA,13,36.5506,-98.2171,"2,000","60,000",ARBUCKLE
3500322102.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CARA SWD,1-31,1200530049.0,2011-09-09,9,2011,ALFALFA,31,36.50687,-98.3036,"2,000","60,000",ARBUCKLE
3500322108.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BAILEY SWD,1-1,1200530050.0,2011-10-10,10,2011,ALFALFA,1,36.9322,-98.2179,"2,000","60,000",ARBUCKLE
3500322117.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,SHARON SWD,1-22,1201350098.0,2011-11-02,11,2011,ALFALFA,22,36.9852,-98.2628,"2,000","60,000",ARBUCKLE
3500322133.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,FIERO SWD,2-23,1202040019.0,2011-11-02,11,2011,ALFALFA,23,36.9849,-98.1333,"2,000","60,000",ARBUCKLE
3500322144.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,JUDY SWD,1-12,1202380140.0,2011-11-09,11,2011,ALFALFA,12,36.92142,-98.32489,"2,000","60,000",ARBUCKLE
3500322152.0,CHESAPEAKE OPERATING LLC,17441,2D,MISSISSIPPI 14-26-12 SWD,1,1703190017.0,2016-12-02,12,2016,ALFALFA,14,36.728888,-98.467545,"2,500","19,500",SIMPSON
3500322157.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,SHARON SWD,2-22,1202610136.0,2011-12-02,12,2011,ALFALFA,22,36.98483,-98.262853,"2,000","60,000",ARBUCKLE
3500322158.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROBYN SWD,1-14,1202750065.0,2011-12-15,12,2011,ALFALFA,14,36.8989,-98.1313,"2,000","60,000",ARBUCKLE
3500322163.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PRESLEY SWD,1-27,1608700032.0,2016-07-13,7,2016,ALFALFA,27,36.78392,-98.36732,"2,000","15,000","COTTAGE GROVE, TONKAWA "
3500322165.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DOTTY SWD,2-27,1203000025.0,2011-12-29,12,2011,ALFALFA,27,36.9588,-98.2575,"2,000","60,000",ARBUCKLE
3500322177.0,TRIAD ENERGY INC,10399,2D,WILLIAMS SWD,1-6,1202430030.0,2011-12-07,12,2011,ALFALFA,6,36.9417,-98.3088,"2,000","60,000",ARBUCKLE
3500322183.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CRICKET SWD,1-21,1203700057.0,2012-04-26,4,2012,ALFALFA,21,36.895,-98.1643,"2,000","80,000",ARBUCKLE
3500322186.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,JUDY SWD,2-12,1203700052.0,2012-02-02,2,2012,ALFALFA,12,36.9219,-98.3248,"2,000","60,000",ARBUCKLE
3500322193.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE KELLY SWD,2-3,1203950057.0,2012-05-07,5,2012,ALFALFA,3,36.928439,-98.2566285,"2,000","60,000",ARBUCKLE
3500322212.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ASHLEY SWD,2-36,1204560024.0,2012-03-21,3,2012,ALFALFA,36,36.8684329,-98.2312016,"2,000","60,000",ARBUCKLE
3500322228.0,UNION VALLEY PETROLEUM CORP,12075,CDW,BONNIE JEAN SWD,1-22,1706400022.0,2017-04-14,4,2017,ALFALFA,22,36.7974504,-98.1532071,"2,000","10,000",LAYTON
3500322229.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,SIDNEY SWD,1-3,1204930046.0,2012-06-18,6,2012,ALFALFA,3,36.9280637,-98.1622758,"2,000","80,000",ARBUCKLE
3500322246.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,GATILLO SWD,2-34,1205760006.0,2012-04-20,4,2012,ALFALFA,34,36.9562376,-98.3773226,"2,000","60,000",ARBUCKLE
3500322247.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PRESLEY SWD,2-27,1205760007.0,2012-05-07,5,2012,ALFALFA,27,36.7837893,-98.3670395,"2,000","60,000",ARBUCKLE
3500322286.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BETTY ELLEN SWD 2909,2-20,1206950034.0,2012-06-18,6,2012,ALFALFA,20,36.9719144,-98.2000157,"2,000","60,000",ARBUCKLE
3500322302.0,CHESAPEAKE OPERATING LLC,17441,2D,TIGRIS 24-24-11 SWD,1,1207420116.0,2012-08-28,8,2012,ALFALFA,24,36.5478299,-98.319515,"1,500","50,000",ARBUCKLE DOLOMITE
3500322308.0,EAGLE EXPLORATION PRODUCTION LLC,23413,CDW,REITZ,1 SWD,1206780080.0,2012-08-07,8,2012,ALFALFA,10,36.8401458,-98.8401458,"2,000","65,000",ARBUCKLE
3500322316.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,GRISWOLD SWD 2811,1-25,1207900010.0,2012-10-19,10,2012,ALFALFA,25,36.8837588,-98.3266665,"2,000","80,000",ARBUCKLE
3500322317.0,CHESAPEAKE OPERATING LLC,17441,2D,EUPHRATES 11-27-12 SWD,1,1207840023.0,2012-09-08,9,2012,ALFALFA,11,36.8399518,-98.4666519,"1,500","80,000",ARBUCKLE DOLOMITE
3500322318.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,POPPINS SWD 2810,2-21,1207900012.0,2012-07-10,7,2012,ALFALFA,21,36.8853283,-98.2722998,"2,000","80,000",ARBUCKLE
3500322345.0,CHAPARRAL ENERGY LLC,16896,2D,WESSEL SWD,1,1302580029.0,2012-11-09,11,2012,ALFALFA,1,36.7673874,-98.4463585,"3,000","45,000",ARBUCKLE
3500322349.0,CHESAPEAKE OPERATING LLC,17441,2D,RIO GRANDE 16-27-12 SWD,1,1300030055.0,2012-11-09,11,2012,ALFALFA,16,36.8124774,-98.4864893,"1,500","80,000",ARBUCKLE
3500322355.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DUSTIN SWD 2709,1-6,1300460052.0,2012-08-22,8,2012,ALFALFA,6,36.8413903,-98.2158393,"2,000","60,000",ARBUCKLE
3500322370.0,D & J OIL COMPANY INC,17713,2D,MYERS,1-34 SWD,1303920175.0,2013-02-20,2,2013,ALFALFA,34,36.7814052,-98.1612485,"2,800","25,000",ARBUCKLE
3500322386.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MILLIE SWD 2810,1-9,1301390064.0,2012-10-29,10,2012,ALFALFA,9,36.913631,-98.2829343,"2,000","60,000",ARBUCKLE
3500322390.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LIZZIE SWD 2711,1-33,1301650032.0,2012-10-10,10,2012,ALFALFA,33,36.7690164,-98.3788771,"2,000","60,000",ARBUCKLE
3500322409.0,CHESAPEAKE OPERATING LLC,17441,2D,THAMES 33-28-9 SWD,1,1702030040.0,2016-10-04,10,2016,ALFALFA,33,36.8555153,-98.1794753,"2,500","19,500",SIMPSON
3500322418.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE SWD 2810,1-26,1302360125.0,2012-11-09,11,2012,ALFALFA,26,36.8790867,-98.2358521,"2,000","60,000",ARBUCKLE
3500322426.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LAUREN SWD 2609,1-3,1302610092.0,2013-01-10,1,2013,ALFALFA,3,36.7667933,-98.1479517,"2,000","60,000",ARBUCKLE
3500322476.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MARLEY SWD 2511,1-25,1303650019.0,2013-02-21,2,2013,ALFALFA,25,36.6092638,-98.3385222,"2,000","60,000",ARBUCKLE
3500322489.0,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,MURROW SWD,1-10,1305640011.0,2013-05-20,5,2013,ALFALFA,10,36.7399965,-98.4847045,"2,000","40,000",ARBUCKLE
3500322504.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BAKER SWD 2810,1-20,1304080062.0,2013-03-04,3,2013,ALFALFA,20,36.8949285,-98.2899088,"2,000","80,000",ARBUCKLE
3500322521.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CLARK W SWD 2811,1-27,1304370154.0,2013-03-27,3,2013,ALFALFA,27,36.87102,-98.3716437,"2,000","80,000",ARBUCKLE
3500322523.0,CHESAPEAKE OPERATING LLC,17441,2D,CLAY 7-25-10 SWD,1,1304190110.0,2013-05-06,5,2013,ALFALFA,7,36.6526632,-98.3231877,"1,500","80,000",ARBUCKLE
3500322524.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE SWD 2810,2-26,1304370153.0,2013-04-23,4,2013,ALFALFA,26,36.8786747,-98.2358504,"2,000","80,000",ARBUCKLE
3500322540.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DIAMONDBACK SWD 2710,1-5,1304690095.0,2013-06-03,6,2013,ALFALFA,5,36.854296,-98.289946,"2,000","80,000",ARBUCKLE
3500322548.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,COTTONWOOD SWD 2411,1-19,1304800029.0,2013-04-25,4,2013,ALFALFA,19,36.536313,-98.4181788,"2,000","60,000",ARBUCKLE
3500322551.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,FIONA SWD 2610,1-5,1304910040.0,2013-06-19,6,2013,ALFALFA,5,36.766755,-98.2987757,"2,000","60,000",ARBUCKLE
3500322560.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DUSTIN SWD 2709,2-6,1305020144.0,2013-05-10,5,2013,ALFALFA,6,36.8418023,-98.2158375,"2,000","60,000",ARBUCKLE
3500322600.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MIGUEL SWD 2611,1-9,1305860066.0,2013-07-01,7,2013,ALFALFA,9,36.7457035,-98.3790357,"2,000","80,000",ARBUCKLE
3500322603.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,CROWDER 2610,2-5H,1505970072.0,2015-04-24,4,2015,ALFALFA,5,36.76725,-98.29698,"1,000","14,000",MISSISSIPPIAN
3500322623.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PHIN SWD 2811,1-11,1306350029.0,2013-07-02,7,2013,ALFALFA,11,36.9141087,-98.3525466,"2,000","80,000",ARBUCKLE
3500322651.0,CHESAPEAKE OPERATING LLC,17441,2D,PULLER 7-26-10 SWD,1,1306840001.0,2013-08-30,8,2013,ALFALFA,7,36.7397608,-98.3152036,"1,500","80,000",ARBUCKLE
3500322710.0,CHESAPEAKE OPERATING LLC,17441,2D,COLUMBIA 36-27-12 SWD ,1,1608890013.0,2016-07-29,7,2016,ALFALFA,36,36.7819226,-98.4488245,"2,500","19,500",SIMPSON
3500322722.0,ARP OKLAHOMA LLC,23072,2D,JACKDAW SWD WELL,1,1401550008.0,2013-09-18,9,2013,ALFALFA,10,36.652153,-98.1547806,"1,000","60,000",ARBUCKLE
3500322737.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DIAMONBACK SWD 2710,2-5,1402810005.0,2013-10-08,10,2013,ALFALFA,5,36.853908,-98.289931,"2,000","80,000",ARBUCKLE
3500322761.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MILA SWD 2610,1-28,1403540075.0,2014-01-10,1,2014,ALFALFA,28,36.7092722,-98.2804739,"2,000","80,000",ARBUCKLE
3500322805.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MARLEY SWD 2511,2-25,1406040003.0,2014-05-07,5,2014,ALFALFA,25,36.6092641,-98.3390333,"2,000","80,000",ARBUCKLE
3500322806.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PHIN SWD 2811,2-11,1404700047.0,2014-02-13,2,2014,ALFALFA,11,36.9141027,-98.3530596,"2,000","80,000",ARBUCKLE
3500322903.0,EAGLE EXPLORATION PRODUCTION LLC,23413,CDW,REITZ,2 SWD,1407580021.0,2014-07-03,7,2014,ALFALFA,10,36.840195,-98.361295,"1,500","40,000",ARBUCKLE
3500322908.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LIDIA SWD 2710,1-7,1407840033.0,2014-07-11,7,2014,ALFALFA,7,36.83986,-98.308036,"2,000","80,000",ARBUCKLE
3500322954.0,AEXCO PETROLEUM INC,17342,2D,MCDANIEL SWD,1-18,1603950059.0,2016-06-14,6,2016,ALFALFA,18,36.6380465,-98.4309985,"2,500","10,000",WILCOX
3500323033.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,TATUM ROSE SWD 2710,1-17,1501810018.0,2014-11-24,11,2014,ALFALFA,17,36.812401,-98.294993,"2,000","80,000",ARBUCKLE
3500323099.0,CHESAPEAKE OPERATING LLC,17441,2D,YELLOW 30-27-10 SWD ,1,1503050035.0,2014-12-04,12,2014,ALFALFA,30,36.853908,-98.289931,"2,000","80,000",ARBUCKLE
3500323183.0,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,KELTNER 2512,1-17 SWD,654904.0,2016-08-02,8,2016,ALFALFA,17,36.65206,-98.51692,"2,264","19,900","HUNTON, WILCOX"
3500323239.0,AEXCO PETROLEUM INC,17342,2D,BARNYARD SWD,#1-16,1605560019.0,2016-02-19,2,2016,ALFALFA,15,35.6382,-98.3777,"2,320","15,000","COTTAGE GROVE, TONKAWA "
3500323263.0,AEXCO PETROLEUM INC,17342,2D,KEPHART SWD ,#1-29,1703700037.0,2016-12-08,12,2016,ALFALFA,29,36.622579,-98.40477,"2,375","15,000","COTTAGE GROVE, TONKAWA "
3500323264.0,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,BAKER 2512,1-28 SWD,1705830122.0,2017-05-25,5,2017,ALFALFA,28,36.609239,-9.49068,"2,285","19,900","ENDICOTT, TONKAWA, COTTAGE GROVE, OSWEGO, HUNTON, WILCOX"
3500323266.0,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,GREGORY 2412,1-15 SWD,1704900011.0,2017-02-28,2,2017,ALFALFA,15,36.5638461,-98.4689228,"2,300","19,900","ENDICOTT, HUNTON, OSWEGO, WILCOX"
3500330089.0,SANNER JERRY OIL PROPERTIES INC,4185,2D,KATHERINE M FRECH,1,78260.0,1969-12-09,12,1969,ALFALFA,21,36.537332,-98.3834131,400,800,TONKAWA
3500335236.0,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,19,346840.0,1990-05-01,5,1990,ALFALFA,20,36.8023677,-98.300208,"1,500","1,000",RED FORK
3500335244.0,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,14,387086.0,1994-10-17,10,1994,ALFALFA,21,36.8023476,-98.2776623,"2,500","1,000","BASAL, PENN"
3500335286.0,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,3,312749.0,1987-05-26,5,1987,ALFALFA,24,36.8062315,-98.33487,"1,500",500,RED FORK
3500335292.0,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,66,282612.0,1985-07-26,7,1985,ALFALFA,25,36.7916487,-98.325971,"2,250","1,500",RED FORK
3500335338.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,COBBETT-HEIRS,1-19,429950.0,1999-02-02,2,1999,ALFALFA,19,36.8858932,-98.313087,"2,450","1,500","RED FORK, TONKAWA"
3500335345.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,CORYELL,1-20,429952.0,1999-02-02,2,1999,ALFALFA,20,36.8931545,-98.3001101,"1,500","1,500",RED FORK
3500335499.0,ARVINE ENVIRONMENTAL LLC,21008,2D,NELSON,2,75500.0,1969-07-14,7,1969,ALFALFA,14,36.5555305,-98.3385963,0,35,OSWEGO
3500520461.0,BRAVO ARKOMA,23562,2D,CAIRO SWD,1,1606000002.0,2016-03-21,3,2016,ATOKA,31,34.594442,-96.0912777,"5,915","19,990","BROMIDE, MCLISH, OIL CREEK"
3500700094.0,UNIT PETROLEUM COMPANY,16711,2D,CARTER HAYWOOD,1 SWD,1300130098.0,2012-08-10,8,2012,BEAVER,4,36.5855502,-100.7942108,"1,000","10,000",BROWN DOLOMITE
3500700412.0,TEX-OK ENERGY LP,18105,2D,BOURQUIN,1,54692.0,1964-04-01,4,1964,BEAVER,23,36.5345234,-100.2278954,250,600,WOLFCAMP
3500700493.0,SNYDER PARTNERS,19732,CDW,HUNTER,1,559356.0,2008-09-11,9,2008,BEAVER,15,36.9886088,-100.6635834,"2,000","6,000",KANSAS CITY
3500700541.0,ENTERPRISE PRODUCTS OPERATING LLC,22247,GS,MOCANE PLANT  LPG,2,339008.0,1974-11-21,11,1974,BEAVER,18,36.8995726,-100.393791,700,"14,400",CIMARRON SALT
3500700542.0,ENTERPRISE PRODUCTS OPERATING LLC,22247,2R,MOCANE PLANT-LPG,1,45055.0,1989-05-24,5,1989,BEAVER,18,36.9004716,-100.3945737,700,"14,400",CIMARRON SALT
3500720222.0,UNIT PETROLEUM COMPANY,16711,2D,FLOYD KEARNS,1 SWD,1404700048.0,2014-02-06,2,2014,BEAVER,1,36.5819531,-100.8609096,"1,000","10,000",BROWN DOLOMITE
3500720493.0,UNIT PETROLEUM COMPANY,16711,2D,SAUNDERS SWD,1,1006660139.0,2010-05-03,5,2010,BEAVER,14,36.5528927,-100.6638879,750,"10,000",WOLFCAMPIAN
3500720654.0,CHAPARRAL ENERGY LLC,16896,2R,CAMRICK,3114,441782.0,2000-06-05,6,2000,BEAVER,31,36.5085485,-100.9363812,"2,000","2,000",MORROW
3500720687.0,CHAPARRAL ENERGY LLC,16896,2R,CAMRICK UNIT,3262,442405.0,2000-06-29,6,2000,BEAVER,32,36.5025248,-100.9269313,"2,000","2,000",MORROW 
3500720688.0,CHAPARRAL ENERGY LLC,16896,2R,CAMRICK UNIT,3533,504988.0,2005-05-05,5,2005,BEAVER,35,36.5082772,-100.8795151,"2,000","2,000",MORROW 
3500720689.0,CHAPARRAL ENERGY LLC,16896,2R,CAMRICK UNIT,3233,443966.0,2000-08-22,8,2000,BEAVER,32,36.5128056,-100.926921,"2,000","2,000",MORROW 
3500720694.0,CHAPARRAL ENERGY LLC,16896,2D,CAMRICK UNIT,3472,533960.0,2007-01-04,1,2007,BEAVER,34,36.5061793,-100.8870754,"2,000",690,MORROW 
