,event_id,date,year,month,latitude,longitude,depth,mag_type,magnitude,state,time,potential_blast,bix_potential_blasts
28,ld60024703,2013-03-14,2013,3,43.8283,-74.236,5000,Ml,2.3,New York,00:01:54.200000,0,0
29,ld60024803,2013-03-17,2013,3,43.834,-74.1003,12800,Ml,1.6,New York,21:34:40.800000,0,0
30,us2013ngal,2013-03-27,2013,3,38.668,-82.215,15400,md,2.5,Ohio,09:10:49.900000,0,0
31,ld60025903,2013-04-21,2013,4,43.407,-78.3345,6800,Ml,1.9,New York,01:01:01.700000,0,0
32,ld60026208,2013-05-02,2013,5,43.9087,-73.9885,7100,Ml,1.5,New York,09:53:37,0,0
33,ld60026708,2013-05-16,2013,5,42.8187,-78.2457,9900,Ml,1.4,New York,14:13:34.200000,0,0
34,ld60044081,2013-07-16,2013,7,39.8485,-77.5933,5000,Ml,2.1,Pennsylvania,03:58:11.400000,0,0
35,4310521,2013-02-19,2013,2,38.4176,-80.9942,1400,ML,2.5,West Virginia,17:24:55,1,1
36,usp0000gyg,1976-06-19,1976,6,37.362,-81.624,5000,mb,4.7,West Virginia,05:54:13.900000,0,0
37,se072013a,2013-07-20,2013,7,38.8956,-80.887,21200,MbLg,2.7,West Virginia,11:38:46.200000,0,0
38,ld60028803,2013-07-20,2013,7,44.9832,-74.6032,4100,Ml,1.4,Quebec,23:05:08.100000,0,0
39,se073013a,2013-07-30,2013,7,38.8393,-80.9087,12700,Md,2.8,West Virginia,06:09:04.800000,0,0
40,se081613a,2013-08-16,2013,8,38.8414,-80.9387,6100,MbLg,2.6,West Virginia,11:02:21,0,0
41,ld60047501,2013-08-25,2013,8,43.351,-73.7943,10200,Ml,2.7,New York,13:33:15.100000,0,0
42,ld60047561,2013-08-27,2013,8,44.6673,-74.0823,13900,Ml,2.0,New York,04:40:15.400000,0,0
43,ld60030208,2013-09-10,2013,9,42.5963,-76.9065,5000,Ml,2.0,New York,03:28:30.400000,0,0
44,usb000kbcn,2013-10-11,2013,10,38.506,-82.7978,5700,md,2.2,Kentucky,02:25:40.800000,0,0
45,se101913a,2013-10-19,2013,10,37.7476,-80.6433,8200,Md,2.2,West Virginia,08:41:57.400000,0,0
46,ld60031608,2013-11-10,2013,11,44.9553,-74.806,5000,ml,1.8,New York,02:32:23.200000,0,0
47,ld60054666,2014-01-09,2014,1,39.9273,-76.324,5000,ml,1.8,Pennsylvania,02:02:39.700000,0,0
48,ld60033303,2014-02-06,2014,2,44.5608,-75.1253,7500,ml,1.8,New York,03:19:24.600000,0,0
49,ld60063426,2014-02-07,2014,2,45.0958333,-73.646,12000,ml,2.75,New York,15:45:06.510000,0,0
50,ld60065706,2014-03-24,2014,3,44.7683333,-73.8276667,5000,ml,1.75,New York,01:26:02.960000,0,0
51,ld60065831,2014-04-01,2014,4,44.5101667,-75.9473333,4170,ml,2.06,New York,21:26:39.780000,0,0
52,ld60034903,2014-04-13,2014,4,44.9763333,-74.8253333,9410,ml,1.32,New York,10:27:15.290000,0,0
53,ld60035403,2014-05-12,2014,5,41.319,-73.6928333,3000,ml,1.73,New York,03:44:35.810000,0,0
54,ld60069171,2014-05-31,2014,5,40.9516667,-74.397,8000,ml,1.86,New Jersey,09:28:36.230000,0,0
55,usc000rccm,2014-06-06,2014,6,38.6438,-81.5855,29600,md,2.6,West Virginia,22:15:40.800000,0,0
56,ld60072806,2014-07-05,2014,7,41.3643333,-73.9343333,5000,ml,2.53,New York,14:46:39.570000,0,0
57,ld60072861,2014-07-08,2014,7,40.7226667,-74.1138333,11120,ml,1.62,New Jersey,09:08:26.520000,0,0
58,ld60074281,2014-07-19,2014,7,43.579,-78.6248333,4540,ml,1.49,New York,19:50:59.010000,0,0
59,ld60074876,2014-07-24,2014,7,43.4063333,-73.9891667,7000,ml,1.56,New York,15:25:16.800000,0,0
60,ld60078011,2014-08-23,2014,8,42.9395,-74.4311667,5000,ml,1.79,New York,04:55:14.760000,0,0
61,ld60078511,2014-08-31,2014,8,41.196,-80.7765,2560,ml,2.14,Ohio,21:34:10.940000,0,0
62,ld60078891,2014-09-03,2014,9,41.018,-74.0321667,13870,ml,1.27,New Jersey,10:47:13.580000,0,0
63,ld60038803,2014-11-08,2014,11,43.2981667,-78.3395,4430,ml,1.7,New York,00:11:20.290000,0,0
64,ld60084066,2014-11-13,2014,11,43.6283333,-73.9718333,6430,ml,1.62,New York,03:30:08.320000,0,0
65,ld60084601,2014-11-29,2014,11,43.1398333,-78.777,8960,ml,1.51,New York,23:27:20.710000,0,0
66,ld60039103,2014-11-30,2014,11,43.5065,-79.1693333,5000,ml,2.26,Quebec,09:32:24.830000,0,0
67,ld60042808,2015-05-23,2015,5,45.0808333,-74.2346667,16070,ml,2.14,Quebec,20:22:08.740000,0,0
68,4369548,2013-05-25,2013,5,37.8076,-82.1206,1000,ML,2.3,West Virginia,19:40:31,1,1
69,4815596,2014-06-09,2014,6,44.7705,-74.9714,13200,ML,1.8,New York,16:58:19,0,1
70,4372707,2013-07-29,2013,7,43.0108,-76.4098,800,ML,2.2,New York,19:33:27,1,1
71,4374136,2013-09-10,2013,9,37.8606,-81.6165,500,ML,2.9,West Virginia,22:30:25,1,1
72,4225371,2013-03-07,2013,3,38.0555,-81.6617,1300,ML,2.7,West Virginia,20:23:07,1,1
73,4310595,2013-02-26,2013,2,37.9899,-81.3333,500,ML,2.8,West Virginia,21:31:12,1,1
74,usp0000quc,1977-09-28,1977,9,44.387,-73.889,3000,,3.1,New York,17:21:44.700000,0,0
75,usp0000txk,1978-04-05,1978,4,43.855,-74.242,11000,,2.6,New York,14:45:49.500000,0,0
76,usp0000u9r,1978-04-26,1978,4,39.697,-78.237,15000,,3.1,West Virginia,19:30:23.300000,0,0
77,usp000ea6t,2006-02-17,2006,2,41.159,-74.557,8000,ml,0.9,New Jersey,00:00:30.430000,0,0
78,usp000g042,2008-02-27,2008,2,42.698,-74.365,6000,md,2.7,New York,07:56:18,0,0
79,usp000jgne,2012-03-23,2012,3,42.754,-77.855,2000,ml,2.5,New York,02:37:22.090000,0,0
80,ld60041203,2015-01-25,2015,1,39.999,-75.6573333,2000,ml,2.73,Pennsylvania,23:25:10.360000,0,0
81,ld60096111,2015-07-12,2015,7,41.054,-74.2945,6230,ml,1.24,New Jersey,04:05:55.340000,0,0
82,ld60084261,2014-11-20,2014,11,41.0011667,-73.6486667,2010,ml,1.7,Connecticut,07:18:32.490000,0,0
83,usp0007s23,1996-10-28,1996,10,40.268,-76.141,5000,mblg,2.6,Pennsylvania,06:59:38.940000,0,0
84,usp000fa43,2007-04-20,2007,4,40.231,-75.892,7000,mblg,2.1,Pennsylvania,01:42:11.950000,0,0
85,ld60093131,2015-05-27,2015,5,43.4086667,-79.1936667,3320,ml,2.27,New York,03:56:13,0,0
86,ld60043003,2015-06-01,2015,6,44.011,-75.1721667,14470,ml,1.33,New York,08:31:29.010000,0,0
87,ld60096256,2015-07-13,2015,7,45.1875,-73.9578333,17180,ml,2.07,Quebec,19:27:27.120000,0,0
88,ld60097401,2015-07-27,2015,7,44.5326667,-73.7243333,5270,ml,1.34,New York,15:25:07.770000,0,0
89,ld60098866,2015-08-14,2015,8,39.892,-76.4083333,1300,ml,1.54,Pennsylvania,02:16:21.210000,0,0
90,ld60100581,2015-08-22,2015,8,40.8935,-74.3375,7910,ml,1.39,New Jersey,19:16:58.650000,0,0
91,4310999,2013-04-19,2013,4,37.1799,-81.8663,17100,ML,2.3,West Virginia,01:27:01,1,0
92,usp0000bd0,1975-06-09,1975,6,44.896,-73.574,10000,lg,4.2,New York,18:39:23.300000,0,0
93,4766676,2014-03-05,2014,3,38.0969,-82.0546,200,ML,2.2,West Virginia,21:16:34,0,1
94,4371887,2013-08-08,2013,8,37.3466,-81.4547,400,ML,2.6,West Virginia,13:13:36,1,1
95,4223501,2013-01-19,2013,1,37.8172,-81.7819,12600,ML,2.5,West Virginia,21:04:56,1,1
96,4766866,2014-03-19,2014,3,39.7113,-79.735,4200,ML,1.4,West Virginia,16:03:17,0,1
97,4369356,2013-05-17,2013,5,43.0225,-76.4203,1200,ML,2.3,New York,20:00:18,1,1
98,4369414,2013-05-20,2013,5,37.6355,-82.6168,1200,ML,2.2,West Virginia,20:33:19,1,1
99,4094794,2012-06-14,2012,6,37.3689,-81.6311,1400,ML,2.6,West Virginia,21:17:34,1,1
100,4309659,2012-11-30,2012,11,37.7563,-82.1132,1300,ML,2.5,West Virginia,17:05:41,1,1
101,usp0000c1u,1975-07-19,1975,7,41.43,-73.788,3000,lg,2.3,New York,20:59:32.200000,0,0
102,usp0000d97,1975-10-24,1975,10,41.593,-73.933,3000,lg,2.2,New York,07:43:12.400000,0,0
103,usp0001eh9,1981-07-04,1981,7,45.106,-74.606,16000,mblg,3.0,Quebec,23:19:17.500000,0,0
104,usp0001ehw,1981-07-05,1981,7,45.106,-74.607,16000,mblg,3.3,Quebec,21:47:23.900000,0,0
105,usp000310x,1986-12-20,1986,12,40.999,-73.831,4900,md,1.9,New York,13:15:31.040000,0,0
106,usp00036be,1987-07-05,1987,7,44.657,-75.558,5200,mblg,2.9,New York,02:37:09.300000,0,0
107,usp00036mg,1987-07-13,1987,7,41.896,-80.767,5000,mb,3.5,Ohio,05:49:17.430000,0,0
108,usp00036pe,1987-07-16,1987,7,41.9,-80.8,5000,mblg,2.7,Ohio,04:49:40,0,0
109,usp0005shd,1993-05-10,1993,5,40.347,-76.018,5000,mblg,2.8,Pennsylvania,09:15:08.600000,0,0
110,usp0005sk2,1993-05-11,1993,5,40.35,-76.02,5000,mblg,2.0,Pennsylvania,02:36:16.200000,0,0
111,usp0005sk3,1993-05-11,1993,5,40.35,-76.02,5000,mblg,2.3,Pennsylvania,02:41:47.600000,0,0
112,usp00083k3,1997-06-16,1997,6,40.098,-76.967,5000,md,2.2,Pennsylvania,05:43:16.630000,0,0
113,usp00084ng,1997-07-10,1997,7,45.04,-74.83,18000,mblg,2.9,Quebec,13:57:51,0,0
114,usp00085m9,1997-07-31,1997,7,43.624,-75.37,5000,mblg,3.2,New York,07:15:29.720000,0,0
115,usp00088x1,1997-10-12,1997,10,44.908,-74.547,14000,md,2.9,New York,08:28:22.350000,0,0
116,usp0008902,1997-10-13,1997,10,44.36,-74.968,4200,md,3.0,New York,23:06:40.210000,0,0
117,usp0008vh3,1998-09-25,1998,9,41.495,-80.388,5000,mwc,4.5,Pennsylvania,19:52:52.070000,0,0
118,usp000945g,1999-03-09,1999,3,44.76,-73.8,10200,md,2.9,New York,12:07:05,0,0
119,usp0009rd3,2000-04-16,2000,4,43.96,-74.24,6000,md,2.3,New York,18:59:12.990000,0,0
120,usp0009rkd,2000-04-20,2000,4,43.949,-74.257,5000,ml,3.8,New York,08:46:55.470000,0,0
121,usp0009yy7,2000-08-22,2000,8,41.42,-73.63,6700,md,2.6,New York,05:45:14,0,0
122,usp000ea6r,2006-02-16,2006,2,41.16,-74.535,8000,ml,2.6,New Jersey,23:43:22.900000,0,0
123,usp000eepu,2006-04-16,2006,4,40.228,-75.995,2000,md,1.0,Pennsylvania,17:29:12.350000,0,0
124,usp000euv8,2006-10-10,2006,10,43.886,-73.31,8000,mblg,2.9,Vermont,06:20:28.720000,0,0
125,usp000drys,2005-05-31,2005,5,44.945,-74.079,10000,md,2.5,New York,13:49:05.300000,0,0
126,usp000e38n,2005-10-31,2005,10,43.281,-77.316,2800,ml,2.6,New York,23:59:29.950000,0,0
127,usp000e5u6,2005-12-09,2005,12,40.97,-74.379,4700,ml,2.1,New Jersey,03:35:46.650000,0,0
128,usp000e7xf,2006-01-09,2006,1,45.029,-73.901,15000,mwr,3.5,Quebec,15:35:39.950000,0,0
129,4225344,2013-03-05,2013,3,37.8138,-82.1101,1300,ML,2.3,West Virginia,22:28:50,1,1
130,3372376,2011-07-22,2011,7,37.2581,-81.9888,7000,ML,4.0,West Virginia,23:02:39,0,0
131,usp00036mh,1987-07-13,1987,7,41.9,-80.8,5000,mblg,3.0,Ohio,07:52:12,0,0
132,usp00036mn,1987-07-13,1987,7,41.9,-80.8,5000,mblg,2.9,Ohio,13:05:22,0,0
133,usp00036nf,1987-07-14,1987,7,41.9,-80.8,5000,mblg,2.8,Ohio,14:51:10,0,0
134,4369310,2013-05-15,2013,5,37.5488,-82.0602,1100,ML,2.4,West Virginia,19:53:56,1,1
135,usp000a1aw,2000-10-05,2000,10,39.949,-76.198,5000,mblg,2.0,Pennsylvania,23:33:56.380000,0,0
136,usp000a1br,2000-10-06,2000,10,45.13,-74.02,18000,mblg,3.8,Quebec,13:59:04,0,0
137,usp000c97z,2003-10-01,2003,10,40.572,-75.116,3100,mblg,2.4,New Jersey,08:07:57.400000,0,0
138,usp000ajhr,2001-07-14,2001,7,40.96,-74.37,7000,md,1.9,New Jersey,20:08:29.390000,0,0
139,usp000arqa,2001-10-27,2001,10,40.793,-73.97,5000,md,2.6,New York,05:42:20.950000,0,0
140,usp000azmy,2002-03-05,2002,3,41.11,-73.66,6000,md,1.1,New York,01:33:52,0,0
141,usp000b2u2,2002-04-20,2002,4,44.513,-73.699,11000,mwc,5.2,New York,10:50:47.500000,0,0
142,usp000b2u3,2002-04-20,2002,4,44.49,-73.69,5000,ml,3.7,New York,11:04:42.400000,0,0
143,usp000b2u4,2002-04-20,2002,4,44.501,-73.704,5000,md,1.7,New York,11:08:26,0,0
144,4808482,2014-05-13,2014,5,37.8886,-81.6418,1800,ML,2.4,West Virginia,00:13:31,1,0
145,usp000h74j,2010-02-10,2010,2,41.033,-74.303,7000,md,2.2,New Jersey,01:17:31.070000,0,0
146,usp000h37g,2009-10-21,2009,10,42.572,-74.104,7000,ml,2.9,New York,01:32:43.220000,0,0
147,usp000h3d2,2009-10-25,2009,10,40.089,-76.998,500,md,2.6,Pennsylvania,11:16:13.750000,0,0
148,usp000h3d3,2009-10-25,2009,10,40.092,-76.999,500,md,2.8,Pennsylvania,11:21:57.900000,0,0
149,4766967,2014-03-25,2014,3,40.4211,-78.5747,1100,ML,1.9,Pennsylvania,18:02:11,1,1
150,usp000h50u,2009-12-13,2009,12,42.569,-74.108,10000,md,2.6,New York,21:10:48.810000,0,0
151,usp000h50y,2009-12-13,2009,12,42.573,-74.108,10000,md,3.1,New York,22:00:50.540000,0,0
152,usp000h574,2009-12-20,2009,12,40.58,-75.191,3000,md,2.3,Pennsylvania,05:36:12.200000,0,0
153,usp000h58m,2009-12-21,2009,12,43.425,-78.664,8000,md,2.7,New York,23:26:31.290000,0,0
154,usp000h6v3,2010-02-01,2010,2,45.188,-73.208,18000,mblg,2.8,Quebec,17:18:06.700000,0,0
155,usp000h7b2,2010-02-15,2010,2,42.589,-74.157,20000,md,2.2,New York,08:46:25.700000,0,0
156,usp000h7dw,2010-02-18,2010,2,42.59,-74.154,19000,md,2.7,New York,07:32:55.900000,0,0
157,usp000h9x6,2010-03-24,2010,3,42.594,-74.186,14000,ml,2.7,New York,02:25:40,0,0
158,4225430,2013-03-11,2013,3,38.2555,-81.5822,200,ML,2.5,West Virginia,21:01:41,1,1
159,4815624,2014-06-11,2014,6,38.1111,-81.9889,5900,ML,2.5,West Virginia,20:39:26,0,1
160,4369514,2013-05-24,2013,5,37.8549,-82.1183,100,ML,2.5,West Virginia,16:26:46,1,1
161,ld60042903,2015-05-25,2015,5,43.6848333,-74.0876667,5000,ml,1.28,New York,07:17:43.520000,0,0
162,ld60084971,2014-12-13,2014,12,40.1586667,-74.4285,5000,ml,1.92,New Jersey,12:13:36.690000,0,0
163,ld60040103,2014-12-23,2014,12,43.9376667,-74.1666667,7370,ml,1.46,New York,11:40:02.470000,0,0
164,se610692,2014-12-28,2014,12,38.4946,-82.8255,5700,md,2.1,Kentucky,12:40:32.400000,0,0
165,ld60085406,2014-12-28,2014,12,40.8423333,-74.174,4210,ml,1.51,New Jersey,14:19:18.160000,0,0
166,ld60085511,2014-12-31,2014,12,43.565,-78.6808333,5000,ml,1.73,New York,20:38:07.590000,0,0
167,ld60085806,2015-01-11,2015,1,44.6816667,-73.6525,3560,ml,1.87,New York,15:54:57.820000,0,0
168,ld60086101,2015-01-19,2015,1,45.2058333,-74.1826667,5000,ml,2.43,Quebec,16:35:14.690000,0,0
169,ld60086106,2015-01-19,2015,1,45.2003333,-74.1798333,8940,ml,1.61,Quebec,19:39:10.990000,0,0
170,ld60087331,2015-02-26,2015,2,44.3275,-74.5303333,5000,ml,2.2,New York,01:11:46.470000,0,0
171,ld60087406,2015-03-02,2015,3,45.15,-73.826,12890,ml,1.55,Quebec,00:54:24.010000,0,0
172,ld60088471,2015-03-27,2015,3,40.844,-74.1765,4660,ml,1.23,New Jersey,20:19:44.180000,0,0
173,ld60089306,2015-04-08,2015,4,44.0746667,-75.2966667,14420,ml,1.81,New York,14:27:17.640000,0,0
174,ld60089966,2015-04-17,2015,4,45.1465,-73.8716667,11420,ml,2.07,Quebec,00:53:48.320000,0,0
175,ld60091441,2015-05-08,2015,5,44.7425,-75.1593333,5000,ml,1.78,New York,01:47:17.190000,0,0
176,ld60042703,2015-05-18,2015,5,43.2868333,-78.31,5000,ml,1.84,New York,23:08:25.880000,0,0
177,ld60092906,2015-05-23,2015,5,45.0538333,-74.2146667,10780,ml,2.28,Quebec,20:21:59.300000,0,0
178,5005268,2014-09-08,2014,9,45.1704,-73.6472,16300,ML,1.9,Quebec,16:23:16,0,1
179,5007448,2014-10-01,2014,10,38.1236,-80.4068,17400,ML,2.4,West Virginia,20:11:02,0,1
180,5007491,2014-10-07,2014,10,41.4601,-77.3849,7700,ML,2.1,Pennsylvania,18:46:32,0,1
181,5007504,2014-10-09,2014,10,37.4304,-81.9928,4300,ML,2.2,West Virginia,14:33:47,0,1
182,5007507,2014-10-09,2014,10,38.0765,-81.9575,5300,ML,2.2,West Virginia,20:07:24,0,1
183,5007526,2014-10-13,2014,10,41.4373,-77.3829,14900,ML,2.3,Pennsylvania,18:55:14,0,1
184,usp0000vcp,1978-06-30,1978,6,41.075,-74.202,5000,,2.9,New Jersey,20:13:43.600000,0,0
185,usp000g1gx,2008-03-15,2008,3,41.337,-74.463,7000,md,1.9,New York,01:18:44,0,0
186,4766937,2014-03-22,2014,3,37.6488,-81.2447,700,ML,2.3,West Virginia,22:33:45,1,1
187,4223486,2013-01-18,2013,1,38.0372,-80.535,1500,ML,3.0,West Virginia,21:21:32,0,1
188,4223560,2013-01-23,2013,1,38.0829,-80.5318,1200,ML,3.0,West Virginia,21:39:03,0,1
189,4225494,2013-03-15,2013,3,38.2843,-81.6398,1500,ML,2.3,West Virginia,21:14:01,0,1
190,4310968,2013-04-17,2013,4,44.815,-74.5174,1400,ML,2.3,New York,15:50:33,0,1
191,4369614,2013-05-31,2013,5,38.1,-81.9588,1300,ML,2.3,West Virginia,15:14:44,0,1
192,4813106,2014-04-29,2014,4,40.3363,-74.8459,500,ML,1.9,New Jersey,17:00:02,1,1
193,4766981,2014-03-26,2014,3,37.8299,-82.1722,600,ML,2.4,West Virginia,20:25:35,1,1
194,4808381,2014-05-02,2014,5,37.9163,-81.8719,800,ML,2.4,West Virginia,17:26:41,1,1
195,4223538,2013-01-22,2013,1,38.2683,-81.5848,11100,ML,2.9,West Virginia,21:58:44,1,1
196,4223555,2013-01-23,2013,1,38.0507,-81.6735,4500,ML,2.6,West Virginia,21:04:30,1,1
197,4213040,2012-07-27,2012,7,37.1834,-81.7458,700,ML,3.0,West Virginia,21:53:44,0,1
198,4820748,2014-07-22,2014,7,40.4679,-77.9086,9400,ML,1.8,Pennsylvania,15:35:03,0,1
199,4820582,2014-07-07,2014,7,38.0228,-81.4483,600,ML,2.3,West Virginia,21:25:42,1,1
200,4374037,2013-09-04,2013,9,37.2325,-81.481,300,ML,2.5,West Virginia,21:48:20,1,1
201,4820598,2014-07-08,2014,7,37.7063,-81.9856,1300,ML,2.4,West Virginia,21:13:12,1,1
202,5005221,2014-09-03,2014,9,37.8698,-81.2672,1400,ML,2.5,West Virginia,19:59:52,1,1
203,5005409,2014-09-18,2014,9,37.9725,-81.5057,1500,ML,2.6,West Virginia,19:16:25,1,1
204,usp0000vcq,1978-06-30,1978,6,41.076,-74.201,6000,,2.2,New Jersey,22:39:49.700000,0,0
205,usp0000vkq,1978-07-16,1978,7,39.924,-76.264,5000,,3.1,Pennsylvania,06:39:37.800000,0,0
206,usp0000w56,1978-08-21,1978,8,44.523,-74.508,1000,,3.1,New York,08:47:10.900000,0,0
207,usp0000ww6,1978-10-06,1978,10,39.974,-76.514,5000,,3.0,Pennsylvania,19:25:41.600000,0,0
208,4372556,2013-07-12,2013,7,38.0115,-81.4669,2700,ML,2.3,West Virginia,22:12:39,1,1
209,4372452,2013-07-04,2013,7,37.9668,-82.2182,7800,ML,2.0,West Virginia,19:53:09,1,1
210,4372580,2013-07-15,2013,7,37.8881,-81.2457,9000,ML,2.1,West Virginia,21:34:21,1,1
211,4372531,2013-07-11,2013,7,37.7492,-82.0499,5600,ML,2.4,West Virginia,16:37:57,1,1
212,4374361,2013-09-23,2013,9,37.76,-82.1337,800,ML,2.3,West Virginia,20:47:51,1,1
213,5111751,2015-01-22,2015,1,40.1926,-80.9502,1500,ML,2.5,Pennsylvania,20:50:35,1,1
214,usp0000yn5,1979-01-29,1979,1,44.819,-73.19,9000,,2.5,Vermont,06:35:46.200000,0,0
215,usp0000ynj,1979-01-30,1979,1,40.321,-74.264,5000,,3.5,New Jersey,16:30:52.100000,0,0
216,4374090,2013-09-07,2013,9,37.4622,-81.6032,300,ML,2.1,West Virginia,20:52:09,1,1
217,4488583,2013-10-17,2013,10,39.7674,-79.8218,5800,ML,1.8,West Virginia,16:07:02,1,1
218,4488652,2013-10-22,2013,10,37.8812,-81.2831,7600,ML,2.2,West Virginia,19:57:00,1,1
219,usp0000yz8,1979-02-23,1979,2,40.803,-74.809,13000,,2.9,New Jersey,10:23:57.200000,0,0
220,usp00013xp,1979-11-09,1979,11,38.421,-82.881,10000,,3.6,Kentucky,21:29:59.100000,0,0
221,5113619,2015-02-27,2015,2,37.9837,-81.6031,1200,ML,2.7,West Virginia,20:48:10,1,1
222,usp00014sp,1979-12-30,1979,12,41.14,-73.69,5000,md,2.5,New York,14:15:11.600000,0,0
223,4813091,2014-04-25,2014,4,37.7536,-82.0312,500,ML,2.4,West Virginia,20:54:14,1,1
224,usp000151t,1980-01-17,1980,1,41.309,-73.928,3000,,2.9,New York,10:13:16.100000,0,0
225,usp00015um,1980-03-05,1980,3,40.188,-75.157,5000,,3.5,Pennsylvania,17:06:54.500000,0,0
226,usp00015yh,1980-03-11,1980,3,40.155,-75.103,5000,,3.7,Pennsylvania,06:00:26,0,0
227,4374455,2013-09-28,2013,9,37.2137,-81.5617,1000,ML,2.3,West Virginia,22:44:24,1,1
228,5115005,2015-03-21,2015,3,37.8339,-81.3595,1200,ML,2.3,West Virginia,17:54:53,1,1
229,4808558,2014-05-20,2014,5,37.5046,-82.0864,200,ML,2.7,West Virginia,21:44:47,1,1
230,5006097,2014-08-05,2014,8,37.3274,-81.9191,700,ML,2.5,West Virginia,20:15:18,1,1
231,4372512,2013-07-10,2013,7,37.7357,-82.051,300,ML,2.3,West Virginia,16:42:17,1,1
232,5005367,2014-09-15,2014,9,37.9899,-82.1057,300,ML,2.2,West Virginia,19:50:11,1,1
233,4815672,2014-06-18,2014,6,37.7587,-81.9953,400,ML,2.8,West Virginia,16:17:56,1,1
234,5110275,2014-11-06,2014,11,37.5987,-82.3986,300,ML,2.4,West Virginia,19:50:45,1,1
235,4820523,2014-07-01,2014,7,40.3232,-74.8893,200,ML,1.8,New Jersey,19:00:02,1,1
236,4820574,2014-07-07,2014,7,37.7331,-82.0193,100,ML,2.2,West Virginia,16:46:10,1,1
237,5110346,2014-11-13,2014,11,37.5664,-82.0309,300,ML,2.2,West Virginia,14:59:33,1,1
238,4820847,2014-07-31,2014,7,37.234,-81.4919,400,ML,2.3,West Virginia,15:09:28,1,1
239,usp0001h3y,1981-11-23,1981,11,38.241,-79.09,10000,ml,2.1,Virginia,13:14:50.990000,0,0
240,usp0001yuv,1983-10-07,1983,10,43.938,-74.258,12500,mb,5.1,New York,10:18:46.150000,0,0
241,4487878,2013-11-02,2013,11,37.5899,-82.3941,2500,ML,2.8,West Virginia,15:38:45,1,1
242,5115002,2015-03-20,2015,3,38.0717,-81.3565,200,ML,2.6,West Virginia,20:17:42,1,1
243,5007462,2014-10-03,2014,10,40.4339,-78.506,2000,ML,2.0,Pennsylvania,16:42:34,0,1
